序号,名称,经度,纬度
1,13号线#1,121.9291742,39.3853306
2,13号线#2,121.92946182,39.38559724
3,13号线#3,121.92974944,39.38586388
4,13号线#4,121.9300384,39.38612965
5,13号线#5,121.93032786,39.38639509
6,13号线#6,121.93061732,39.38666054
7,13号线#7,121.93090677,39.38692599
8,13号线#8,121.93119655,39.38719122
9,13号线#9,121.93148771,39.38745555
10,13号线#10,121.93177886,39.38771988
11,13号线#11,121.93207002,39.38798421
12,13号线#12,121.93236117,39.38824854
13,13号线#13,121.93265233,39.38851286
14,13号线#14,121.93293378,39.38878339
15,13号线#15,121.93321523,39.38905393
16,13号线#16,121.93349667,39.38932446
17,13号线#17,121.93377811,39.38959499
18,13号线#18,121.93405956,39.38986553
19,13号线#19,121.93434684,39.39013234
20,13号线#20,121.93463684,39.39039741
21,13号线#21,121.93492684,39.39066249
22,13号线#22,121.93521684,39.39092756
23,13号线#23,121.93550698,39.39119255
24,13号线#24,121.93579776,39.39145711
25,13号线#25,121.93608853,39.39172168
26,13号线#26,121.93637931,39.39198624
27,13号线#27,121.93666985,39.39225096
28,13号线#28,121.93696023,39.39251578
29,13号线#29,121.93725061,39.3927806
30,13号线#30,121.93754099,39.39304541
31,13号线#31,121.93783133,39.39331026
32,13号线#32,121.93812155,39.39357518
33,13号线#33,121.93841177,39.3938401
34,13号线#34,121.93870199,39.39410502
35,13号线#35,121.93899221,39.39436994
36,13号线#36,121.93928856,39.39463076
37,13号线#37,121.93958638,39.39489058
38,13号线#38,121.93988421,39.39515041
39,13号线#39,121.9401715,39.39541645
40,13号线#40,121.94041731,39.39570696
41,13号线#41,121.94065257,39.39600194
42,13号线#42,121.94083755,39.39631823
43,13号线#43,121.9410218,39.39663477
44,13号线#44,121.9411901,39.39695658
45,13号线#45,121.94135819,39.39727845
46,13号线#46,121.94152453,39.39760086
47,13号线#47,121.94169086,39.39792327
48,13号线#48,121.94185719,39.39824569
49,13号线#49,121.94202352,39.3985681
50,13号线#50,121.94219082,39.39889021
51,13号线#51,121.94235886,39.39921209
52,13号线#52,121.94252691,39.39953396
53,13号线#53,121.94269495,39.39985583
54,13号线#54,121.942863,39.40017771
55,13号线#55,121.94303105,39.40049958
56,13号线#56,121.94319909,39.40082145
57,13号线#57,121.94336701,39.40114335
58,13号线#58,121.94353002,39.40146676
59,13号线#59,121.94369303,39.40179017
60,13号线#60,121.94385605,39.40211357
61,13号线#61,121.94401906,39.40243698
62,13号线#62,121.94418207,39.40276038
63,13号线#63,121.94434508,39.40308378
64,13号线#64,121.94450809,39.40340718
65,13号线#65,121.94465966,39.40373387
66,13号线#66,121.94480751,39.40406151
67,13号线#67,121.94492169,39.40439717
68,13号线#68,121.94499415,39.40473958
69,13号线#69,121.94506409,39.4050824
70,13号线#70,121.94510059,39.40542805
71,13号线#71,121.94512818,39.40577444
72,13号线#72,121.94513623,39.40612092
73,13号线#73,121.94511376,39.40646754
74,13号线#74,121.94509128,39.40681415
75,13号线#75,121.94504741,39.40715951
76,13号线#76,121.94500214,39.40750478
77,13号线#77,121.94495685,39.40785005
78,13号线#78,121.9449115,39.40819532
79,13号线#79,121.94486615,39.40854058
80,13号线#80,121.94482039,39.40888581
81,13号线#81,121.94475436,39.40922907
82,13号线#82,121.94468833,39.40957233
83,13号线#83,121.9446223,39.40991559
84,13号线#84,121.94455627,39.41025885
85,13号线#85,121.94449024,39.41060211
86,13号线#86,121.94443257,39.41094625
87,13号线#87,121.94437606,39.41129052
88,13号线#88,121.94431958,39.41163479
89,13号线#89,121.94426497,39.41197923
90,13号线#90,121.94421155,39.41232379
91,13号线#91,121.94415813,39.41266834
92,13号线#92,121.94411937,39.41301385
93,13号线#93,121.94409679,39.41336043
94,13号线#94,121.94408702,39.41370709
95,13号线#95,121.94410082,39.41405392
96,13号线#96,121.94410111,39.41440093
97,13号线#97,121.9441014,39.41474793
98,13号线#98,121.94410168,39.41509494
